meeting_id,member_id,attendance,event_date,committee_id,actual_end_time,actual_start_time,scheduled_end_time,scheduled_start_time,party_id,actual_length,scheduled_length
42305,692,AP,29-01-2026,391,22:30,11:00,,11:00,11,690,690
42305,238,AP,29-01-2026,391,22:30,11:00,,11:00,2,690,690
42305,2327,P,29-01-2026,391,22:30,11:00,,11:00,19,690,690
42305,2123,P,29-01-2026,391,22:30,11:00,,11:00,19,690,690
42305,2107,P,29-01-2026,391,22:30,11:00,,11:00,19,690,690
42305,2043,P,29-01-2026,391,22:30,11:00,,11:00,21,690,690
42305,2026,L,29-01-2026,391,22:30,11:00,,11:00,1,690,690
42305,2022,AP,29-01-2026,391,22:30,11:00,,11:00,1,690,690
42305,2003,AP,29-01-2026,391,22:30,11:00,,11:00,2,690,690
42305,1989,P,29-01-2026,391,22:30,11:00,,11:00,20,690,690
42305,1943,P,29-01-2026,391,22:30,11:00,,11:00,1,690,690
42305,1402,AP,29-01-2026,391,22:30,11:00,,11:00,1,690,690
42305,1144,P,29-01-2026,391,22:30,11:00,,11:00,1,690,690
42305,911,AP,29-01-2026,391,22:30,11:00,,11:00,8,690,690
42305,711,P,29-01-2026,391,22:30,11:00,,11:00,11,690,690
42303,1983,A,28-01-2026,49,10:56,09:02,,09:00,1,114,114
42303,1842,P,28-01-2026,49,10:56,09:02,,09:00,11,114,114
42303,327,DE,28-01-2026,49,10:56,09:02,,09:00,3,114,114
42303,583,A,28-01-2026,49,10:56,09:02,,09:00,23,114,114
42303,732,A,28-01-2026,49,10:56,09:02,,09:00,2,114,114
42303,880,A,28-01-2026,49,10:56,09:02,,09:00,11,114,114
42303,1326,P,28-01-2026,49,10:56,09:02,,09:00,1,114,114
42303,2027,P,28-01-2026,49,10:56,09:02,,09:00,17,114,114
42303,2031,P,28-01-2026,49,10:56,09:02,,09:00,1,114,114
42303,2032,P,28-01-2026,49,10:56,09:02,,09:00,2,114,114
42303,2135,P,28-01-2026,49,10:56,09:02,,09:00,19,114,114
42303,1396,A,28-01-2026,49,10:56,09:02,,09:00,1,114,114
42301,185,P,28-01-2026,71,11:17,10:00,,10:00,1,77,77
42301,961,AP,28-01-2026,71,11:17,10:00,,10:00,1,77,77
42301,982,P,28-01-2026,71,11:17,10:00,,10:00,1,77,77
42301,1290,P,28-01-2026,71,11:17,10:00,,10:00,4,77,77
42301,1312,P,28-01-2026,71,11:17,10:00,,10:00,2,77,77
42301,1371,P,28-01-2026,71,11:17,10:00,,10:00,2,77,77
42301,1909,P,28-01-2026,71,11:17,10:00,,10:00,11,77,77
42301,1938,P,28-01-2026,71,11:17,10:00,,10:00,21,77,77
42301,1982,P,28-01-2026,71,11:17,10:00,,10:00,1,77,77
42301,2083,P,28-01-2026,71,11:17,10:00,,10:00,19,77,77
