id,member,profile_pic,party_id,ID_y,gender,date_of_death,date_of_birth,slug,legal_name,updated,created,title,family_name,given_name
1357,"Zungula, Mr V",zungula.jpg,15,10504,male,,1987-08-28,vuyolwethu-zungula,Vuyolwethu Zungula,"August 22, 2024, 9:09 AM","May 21, 2019, 7:19 PM",Mr,Zungula,Vuyolwethu
1967,"Petersen, Ms JS",Petersen_JS.jpg,20,27175,female,,2002-03-05,jasmine-shanon-petersen,Jasmine Shanon Petersen,"July 17, 2024, 1:42 PM","June 18, 2024, 8:00 AM",Ms,Petersen,Jasmine Shanon
2026,"Sokanyile, Ms T",sokanyile.jpg,1,26642,female,,1963-04-19,thokozile-sokanyile,Thokozile Sokanyile,"October 10, 2024, 9:23 AM","June 18, 2024, 7:58 AM",Ms,Sokanyile,Thokozile
708,"Michalakis, Mr G",Michalakis.jpg,2,6260,male,,1988-01-06,george-michalakis,George Michalakis,"May 16, 2025, 10:32 AM","May 3, 2014, 12:15 AM",Mr,Michalakis,George
504,"Didiza, Ms AT",images/committee-members/resize/didiza_ms_at-didiza_angela_thokozile.jpg,1,4174,female,,1965-06-02,angela-thokozile-didiza,Angela Thokozile Didiza,"August 12, 2024, 11:59 AM","May 2, 2014, 4:39 PM",Ms,Didiza,Angela Thokozile
1387,"Nkabane, Dr NP",ms_nobuhle_pamela_nkabane.jpg,1,13745,female,,1979-08-01,nobuhle-pamela-nkabane,Nobuhle Pamela Nkabane,"October 10, 2025, 11:20 AM","May 21, 2019, 7:28 PM",Dr,Nkabane,Nobuhle Pamela
421,"Mazzone, Ms NW",Mazzone.jpg,2,785,female,,1979-05-09,natasha-wendy-anita-michael,Natasha Wendy Anita Mazzone,"August 14, 2024, 11:36 AM","July 31, 2013, 11:49 PM",Ms,Mazzone,Natasha Wendy Anita
1807,"Alexander, Ms W",1/alex.jpg,2,13470,female,,1979-06-25,wendy-robyn-alexander,Wendy Robyn Alexander,"October 7, 2025, 8:15 AM","May 21, 2019, 7:27 PM",Ms,Alexander,Wendy Robyn
2367,"Cachalia, Prof F",firoz-cachalia_0_1.jpg,1,27516,male,,1958-07-22,firoz-cachalia,Firoz Cachalia,"October 20, 2025, 9:38 AM","October 1, 2025, 10:20 AM",Professor,,
2361,"Hendricks, Mr E",e_hendricks.jpg,20,21404,male,,1979-07-21,ernest-hendricks,Ernest Hendricks,"November 10, 2025, 2:53 PM","June 18, 2024, 6:19 AM",Mr,Hendricks,Ernest
