id,member,surname,title,gender,initial,profile_pic,party_id
1357,"Zungula, Mr V",Zungula,Mr,male,V,zungula.jpg,15
1967,"Petersen, Ms JS",Petersen,Ms,female,JS,Petersen_JS.jpg,20
2026,"Sokanyile, Ms T",Sokanyile,Ms,female,T,sokanyile.jpg,1
708,"Michalakis, Mr G",Michalakis,Mr,male,G,Michalakis.jpg,2
504,"Didiza, Ms AT",Didiza,Ms,female,AT,images/committee-members/resize/didiza_ms_at-didiza_angela_thokozile.jpg,1
1387,"Nkabane, Dr NP",Nkabane,Dr,female,NP,ms_nobuhle_pamela_nkabane.jpg,1
421,"Mazzone, Ms NW",Mazzone,Ms,female,NW,Mazzone.jpg,2
1807,"Alexander, Ms W",Alexander,Ms,female,W,1/alex.jpg,2
2324,"Nkosi, Mr V A",Nkosi,Mr,male,VA,Vusumuzi_Alfred_Nkosi.jpg,1
2329,"Montana, Mr L",Montana,Mr,male,L,montana.jpg,19
2334,"Mbiko, Ms F",Mbiko,Ms,female,F,fez.jpg,2
2336,"Lonzi, Mr S",Lonzi,Mr,male,S,lonzi.jpg,11
2337,"Tagodien, Ms R",Tagodien,Ms,female,R,tt.jpg,20
2341,"Segede, Mr M",Segede,Mr,male,M,segede.jpeg,1
2342,"Nchabeleng, Mr A",Nchabeleng,Mr,male,A,nchabeleng.png,19
2345,"Matiwane, Mr C",Matiwane,Mr,male,C,,11
1968,"Blose, Mr MB",Blose,Mr,male,MB,Blose_Mzwikayise.jpeg,11
619,"Whitfield, Mr AG",Whitfield,Mr,male,AG,whitfield.jpg,2
1908,"Niehaus, Mr CG",Niehaus,Mr,male,CG,neihaus.jpg,11
651,"Atkinson, Mr P",Atkinson,Mr,male,P,aTKINSON.jpg,2
2325,"Seate, Ms M O",Seate,Ms,female,MO,Makithing_Olga_Seate.jpg,1
2248,"Kubheka, Mr TTS",Kubheka,Mr,male,TTS,Thalente_Thuthukani_Sakhike_Khubeka.jpg,19
2330,"Kobane, Mr G E",Kobane,Mr,male,GE,penny_penny.jpg,19
2338,"Daniels, Mr M V",Daniels,Mr,male,MV,dd.jpg,20
2320,"Hlophe, Mr C R",Hlophe,Mr,male,CR,hlophe_R.jpg,1
2343,"Makhubele, Ms C",Makhubele,Ms,female,C,1/makhubele.png,19
1929,"Mtolo, Ms NE",Mtolo,Ms,female,NE,Mtolo.jpg,1
2326,"Matsa, Mr F S",Matsa,Mr,male,FS,Matsa.jpg,19
2331,"Gama, Mr S I",Gama,Mr,male,SI,gama.jpg,19
843,"Tolashe, Ms N G",Tolashe,Ms,female,NG,1/tolashe.jpg,1
2036,"Singh, Ms S",Singh,Ms,female,S,1/singh.jpg,2
1909,"Gcilishe, Ms S",Gcilishe,Ms,female,S,Gclishe.jpg,11
2339,"Mathopa, Ms M L",Mathopa,Ms,female,ML,mil.jpg,20
2178,"Trollip, Mr A",Trollip,Mr,male,A,1/trollip.jpg,21
959,"Mvana, Ms NQ",Mvana,Ms,female,NQ,mvana.jpg,1
1970,"Machi, Ms BE",Machi,Ms,female,BE,Machi.jpg,4
2327,"Shongwe, Mr C V",Shongwe,Mr,male,CV,shongwe....cv.jpg,19
1799,"Mogale, Mr T",Mogale,Mr,male,T,2/mogale.jpg,11
2028,"Hala, Mr MM",Hala,Mr,male,MM,Hala.jpg,1
1930,"Subrathie, Mr SI",Subrathie,Mr,male,SI,Subrathie.jpg,1
1845,"Manyi, Mr M",Manyi,Mr,male,M,man.jpg,19
2332,"Gamede, Mr T I",Gamede,Mr,male,TI,gamede.jpg,19
2340,"van Wyk, Mr SHM",van Wyk,Mr,male,SHM,saintes-harry-mclove-van-wyk.jpg,20
2029,"Webster, Ms NL",Webster,Ms,female,NL,webster.jpg,23
1414,"Nzuza, Mr NB",Nzuza,Mr,male,NB,nzuza.jpg,1
1910,"Mailola, Ms PR",Mailola,Ms,female,PR,poppy.jpg,11
770,"Labuschagne, Ms C",Labuschagne,Ms,female,C,Labuscaghne.jpg,2
