id,member,profile_pic,party_id
1357,"Zungula, Mr V",zungula.jpg,15
1967,"Petersen, Ms JS",Petersen_JS.jpg,20
2026,"Sokanyile, Ms T",sokanyile.jpg,1
708,"Michalakis, Mr G",Michalakis.jpg,2
504,"Didiza, Ms AT",images/committee-members/resize/didiza_ms_at-didiza_angela_thokozile.jpg,1
1387,"Nkabane, Dr NP",ms_nobuhle_pamela_nkabane.jpg,1
421,"Mazzone, Ms NW",Mazzone.jpg,2
1807,"Alexander, Ms W",1/alex.jpg,2
2324,"Nkosi, Mr V A",Vusumuzi_Alfred_Nkosi.jpg,1
2329,"Montana, Mr L",montana.jpg,19
2334,"Mbiko, Ms F",fez.jpg,2
2336,"Lonzi, Mr S",lonzi.jpg,11
2337,"Tagodien, Ms R",tt.jpg,20
2341,"Segede, Mr M",segede.jpeg,1
2342,"Nchabeleng, Mr A",nchabeleng.png,19
2345,"Matiwane, Mr C",,11
1968,"Blose, Mr MB",Blose_Mzwikayise.jpeg,11
619,"Whitfield, Mr AG",whitfield.jpg,2
1908,"Niehaus, Mr CG",neihaus.jpg,11
651,"Atkinson, Mr P",aTKINSON.jpg,2
2325,"Seate, Ms M O",Makithing_Olga_Seate.jpg,1
2248,"Kubheka, Mr TTS",Thalente_Thuthukani_Sakhike_Khubeka.jpg,19
2330,"Kobane, Mr G E",penny_penny.jpg,19
2338,"Daniels, Mr M V",dd.jpg,20
2320,"Hlophe, Mr C R",hlophe_R.jpg,1
2343,"Makhubele, Ms C",1/makhubele.png,19
1929,"Mtolo, Ms NE",Mtolo.jpg,1
2326,"Matsa, Mr F S",Matsa.jpg,19
2331,"Gama, Mr S I",gama.jpg,19
843,"Tolashe, Ms N G",1/tolashe.jpg,1
2036,"Singh, Ms S",1/singh.jpg,2
1909,"Gcilishe, Ms S",Gclishe.jpg,11
2339,"Mathopa, Ms M L",mil.jpg,20
2178,"Trollip, Mr A",1/trollip.jpg,21
959,"Mvana, Ms NQ",mvana.jpg,1
1970,"Machi, Ms BE",Machi.jpg,4
2327,"Shongwe, Mr C V",shongwe....cv.jpg,19
1799,"Mogale, Mr T",2/mogale.jpg,11
2028,"Hala, Mr MM",Hala.jpg,1
1930,"Subrathie, Mr SI",Subrathie.jpg,1
1845,"Manyi, Mr M",man.jpg,19
2332,"Gamede, Mr T I",gamede.jpg,19
2340,"van Wyk, Mr SHM",saintes-harry-mclove-van-wyk.jpg,20
2029,"Webster, Ms NL",webster.jpg,23
1414,"Nzuza, Mr NB",nzuza.jpg,1
1910,"Mailola, Ms PR",poppy.jpg,11
770,"Labuschagne, Ms C",Labuscaghne.jpg,2
2031,"Kumbaca, Ms AN",Kumbaca.jpg,1
1971,"Buthelezi, Mr NZ",N_Buthelezi.jpg,4
683,"Macpherson, Mr DW",Macpherson.jpg,2
2032,"Smith, Mr R",SmithR.jpg,2
2034,"Linde, Ms E",Linde.jpg,2
1972,"Mhlongo, Ms NH",mhlongo_nompumelelo.jpg,4
1940,"Mhlauli, Ms NB",Mhalauli.jpg,1
327,"Meshoe, Rev KR",Meshoe.jpg,3
2030,"Dithebe, Mr SL",Dithebe.jpg,1
1441,"Lucas, Ms SE",Lucas.jpg,1
295,"Mashatile, Mr SP",P_Mashatile.jpg,1
2130,"Hlophe, Dr J",hlophe_dr.jpg,19
2039,"Frenchman, Ms S",Frenchman.jpg,24
