ID,Name,Profile Pic URL,Bio,House ID,Party ID,Province ID,Start Date,Pa Link,Current,Created At,Updated At
2323,"Xaba, Ms BA",,,8,19,2,,https://www.pa.org.za/person/annah-buyisiwe-xaba/,true,"August 13, 2024, 1:35 PM","August 13, 2024, 1:35 PM"
2274,"Sepuru, Mr DM",sepuru.png,,10,1,6,,https://www.pa.org.za/person/david-mmakgabo-champ-sepuru/,true,"July 12, 2024, 7:54 AM","June 10, 2025, 9:17 PM"
1357,"Zungula, Mr V",zungula.jpg,,3,15,,,https://www.pa.org.za/person/vuyolwethu-zungula/,true,"May 23, 2019, 12:19 PM","June 28, 2024, 11:30 AM"
2245,"Mokoele, Ms M",mokoele.png,,10,1,6,,https://www.pa.org.za/person/mosibudi-esther-mokoele/,true,"July 9, 2024, 9:31 PM","June 10, 2025, 9:19 PM"
2352,"Nkonyana, Mr BA",nkonyana.png,,10,1,6,,https://www.pa.org.za/person/bongani-abednigo-nkonyana/,true,"June 4, 2025, 11:13 AM","June 10, 2025, 9:38 PM"
888,"Lekker, Ms P",Lekker_Pat_web.jpg,,5,1,9,,https://www.pa.org.za/person/patronella-zingisa-lekker/,true,"February 6, 2018, 1:17 PM","June 13, 2024, 7:19 PM"
2026,"Sokanyile, Ms T",sokanyile.jpg,,3,1,,,https://www.pa.org.za/person/thokozile-sokanyile/,true,"June 21, 2024, 8:37 AM","June 28, 2024, 1:01 PM"
1472,"Sayed, Mr MK",Sayed_Khalid_web.jpg,,5,1,9,,https://www.pa.org.za/person/muhammad-khalid-sayed/,true,"May 28, 2019, 10:51 AM","June 13, 2024, 7:38 PM"
708,"Michalakis, Mr G",Michalakis.jpg,,3,2,7,"June 24, 2014",https://www.pa.org.za/person/george-michalakis/,true,"October 8, 2015, 1:28 PM","June 28, 2024, 2:18 PM"
504,"Didiza, Ms AT",images/committee-members/resize/didiza_ms_at-didiza_angela_thokozile.jpg,,3,1,,"June 5, 2014",https://www.pa.org.za/person/angela-thokozile-didiza/,true,"October 8, 2015, 1:28 PM","June 18, 2024, 8:44 AM"
1387,"Nkabane, Dr NP",ms_nobuhle_pamela_nkabane.jpg,,3,1,,,https://www.pa.org.za/person/nobuhle-pamela-nkabane/,true,"May 23, 2019, 12:44 PM","June 18, 2024, 11:10 AM"
1917,"Ngqentsu, Mr B",nqent.jpg,,5,1,9,,https://www.pa.org.za/person/mangesi-benson-ngqentsu/,true,"June 13, 2024, 9:05 AM","June 19, 2024, 10:35 AM"
421,"Mazzone, Ms NW",Mazzone.jpg,,3,2,,"April 10, 2013",https://www.pa.org.za/person/natasha-wendy-anita-michael/,true,"October 8, 2015, 1:28 PM","June 29, 2024, 4:08 PM"
1807,"Alexander, Ms W",1/alex.jpg,,3,2,,,https://www.pa.org.za/person/wendy-robyn-alexander/,true,"November 16, 2022, 12:59 PM","June 29, 2024, 6:47 PM"
2249,"Kunene, Mr TM",Thulani_Kunene.JPG,,8,1,2,,https://pa.org.za/person/monty-thulani-kunene/,true,"July 11, 2024, 8:53 AM","July 11, 2024, 8:53 AM"
2367,"Cachalia, Prof F",firoz-cachalia_0_1.jpg,,3,1,,,https://pa.org.za/person/firoz-cachalia/,true,"September 10, 2025, 5:38 PM","October 1, 2025, 11:09 AM"
2304,"Semahla, Ms NC",,,8,11,2,,https://www.pa.org.za/person/noliqwa-clementinah-semahla/,true,"July 17, 2024, 11:33 AM","October 6, 2025, 3:14 PM"
2302,"Meso, Ms NE",,,8,19,2,,https://www.pa.org.za/person/nomthandazo-eveline-meso/,true,"July 15, 2024, 12:50 PM","July 15, 2024, 12:50 PM"
2333,"Oliphant, Mr N",Hon.-Nathan-scaled.jpg,,13,1,3,,https://www.pa.org.za/person/theolonuis-nat-nathan-oliphant/,true,"October 9, 2024, 7:30 AM","September 1, 2025, 3:22 PM"
2349,"Mabuza, Ms L",mabuza.png,,11,1,5,,https://www.pa.org.za/person/leah-martha-mabuza/,true,"May 6, 2025, 1:51 PM","October 7, 2025, 12:49 PM"
