Code,PMG,Register,Scrape
CW01,1,0,0
CW02,1,0,0
CW03,1,0,0
CW04,1,0,0
CW05,1,0,0
CW06,1,0,0
CW08,1,0,0
CW09,1,0,0
CW10,1,0,0
CW100,1,0,0
CW1000,1,0,0
CW1003,1,0,0
CW1004,1,0,0
CW1005,1,0,0
CW1006,1,0,0
CW1007,1,0,0
CW101,1,0,0
CW102,1,0,0
CW103,1,0,0
CW1034,1,0,0
CW1036,1,0,0
CW1037,1,0,0
CW104,1,0,0
CW1054,1,0,0
CW1060,1,0,0
CW1070,1,0,0
CW1074,1,0,0
CW1075,1,0,0
CW1076,1,0,0
CW1077,1,0,0
CW108,1,0,0
CW1080,1,0,0
CW1081,1,0,0
CW1082,1,0,0
CW1083,1,0,0
CW1084,1,0,0
CW1085,1,0,0
CW1086,1,0,0
CW1087,1,0,0
CW1088,1,0,0
CW1089,1,0,0
CW109,1,0,0
CW1090,1,0,0
CW1093,1,0,0
CW1094,1,0,0
CW1095,1,0,0
CW1097,1,0,0
CW1099,1,0,0
CW11,1,0,0
CW110,1,0,0
CW1101,1,0,0
CW1102,1,0,0
CW1103,1,0,0
CW1104,1,0,0
CW1105,1,0,0
CW1107,1,0,0
CW1108,1,0,0
CW1109,1,0,0
CW111,1,0,0
CW1110,1,0,0
CW1112,1,0,0
CW1117,1,0,0
CW1119,1,0,0
CW112,1,0,0
CW1120,1,0,0
CW1141,1,0,0
CW1142,1,0,0
CW1143,1,0,0
CW1144,1,0,0
CW1145,1,0,0
CW1146,1,0,0
CW1148,1,0,0
CW1149,1,0,0
CW1150,1,0,0
CW1152,1,0,0
CW1154,1,0,0
CW1156,1,0,0
CW1157,1,0,0
CW1158,1,0,0
CW1159,1,0,0
CW1160,1,0,0
CW1161,1,0,0
CW1162,1,0,0
CW1163,1,0,0
CW1164,1,0,0
CW1165,1,0,0
CW1166,1,0,0
CW1167,1,0,0
CW1168,1,0,0
CW1169,1,0,0
CW117,1,0,0
CW1170,1,0,0
CW1171,1,0,0
CW1172,1,0,0
CW1174,1,0,0
CW1175,1,0,0
CW1178,1,0,0
CW1179,1,0,0
CW1180,1,0,0
CW1181,1,0,0
CW1182,1,0,0
CW1184,1,0,0
CW1187,1,0,0
CW1188,1,0,0
CW119,1,0,0
CW1190,1,0,0
CW1191,1,0,0
CW1192,1,0,0
CW1193,1,0,0
CW1194,1,0,0
CW1196,1,0,0
CW1198,1,0,0
CW12,1,0,0
CW1200,1,0,0
CW1202,1,0,0
CW1204,1,0,0
CW1207,1,0,0
CW1208,1,0,0
CW1210,1,0,0
CW1212,1,0,0
CW1213,1,0,0
CW1214,1,0,0
CW1215,1,0,0
CW1216,1,0,0
CW1217,1,0,0
CW1219,1,0,0
CW122,1,0,0
CW1220,1,0,0
CW1221,1,0,0
CW1222,1,0,0
CW1223,1,0,0
CW1224,1,0,0
CW1225,1,0,0
CW1226,1,0,0
CW1227,1,0,0
CW1229,1,0,0
CW123,1,0,0
CW124,1,0,0
CW1247,1,0,0
CW1252,1,0,0
CW1253,1,0,0
CW1255,1,0,0
CW126,1,0,0
CW1260,1,0,0
CW1263,1,0,0
CW1264,1,0,0
CW1265,1,0,0
CW1267,1,0,0
CW1269,1,0,0
CW1270,1,0,0
CW1273,1,0,0
CW1274,1,0,0
CW1275,1,0,0
CW1276,1,0,0
CW1277,1,0,0
