Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,
1,NW1E,Mr V Zungula ,ATM ,Cooperative Governance and Traditional Affairs,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
2,NW2E,Mr V Zungula ,ATM ,President of the Republic,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, March 07, 2025",Late,A,,
3,NW3E,Mr V Zungula ,ATM ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
4,NW6E,Ms T L Marawu ,ATM ,Employment and Labour,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, February 17, 2025",Timeous,A,,
5,NW7E,Ms T L Marawu ,ATM ,Employment and Labour,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, February 17, 2025",Timeous,A,,
6,NW8E,Ms T L Marawu ,ATM ,"Forestry, Fisheries and the Environment","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
7,NW15E,Mr R A P Trollip ,ActionSA ,President of the Republic,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
8,NW16E,Mr R A P Trollip ,ActionSA ,Agriculture,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, May 09, 2025",Late,A,,
9,NW17E,Mr R A P Trollip ,ActionSA ,Electricity and Energy,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
10,NW18E,Ms L M Ngobeni ,ActionSA ,Deputy President,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
11,NW19E,Ms L M Ngobeni ,ActionSA ,Human Settlements,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
12,NW20E,Ms L M Ngobeni ,ActionSA ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
13,NW21E,Mr T K S Letlape ,ActionSA ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
14,NW22E,Mr T K S Letlape,ActionSA ,Minister in The Presidency,"Thursday, February 06, 2025","Thursday, February 20, 2025",LAPSED,LAPSED,L,REPLY PROVIDED 22 MAY - PARTY OBJECTED AND THE SPEAKER WROTE TO LOGB - NO RESPONSE - AWAITING INTERVENTION,
15,NW23E,Mr T K S Letlape ,ActionSA ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
16,NW24E,Ms M P Kobe ,ActionSA ,Public Works and Infrastructure,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
17,NW25E,Ms M P Kobe ,ActionSA ,Public Works and Infrastructure,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 18, 2025",Timeous,A,,
