date,file_location,house,id,introduced_by,language,name,,type
2025-06-03,exe_rq_na/01pv5mf2dv57ufajsiara3czhon36wivlx.pdf,NA,2326064,,ENG,RNO604-2025-06-03.pdf,NO604,EXE_RQ_NA
2025-05-29,exe_rq_na/01pv5mf2fir5vahukzvnhigtfcxoxh2ww5.pdf,NA,2326070,,ENG,RNO608-2025-05-29.pdf,NO608,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2gqvbptjl3rtneyuyvoj6ow5d7w.pdf,NA,2326063,,ENG,RNO598-2025-05-28.pdf,NO598,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2epoxj6j2nzc5gknjjyrgo5pnbh.pdf,NA,2326065,,ENG,RNO576-2025-05-28.pdf,NO576,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2feiudugi37abglgjwkm5k67mve.pdf,NA,2326069,,ENG,RNO583-2025-05-28.pdf,NO583,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2eusina7mpwnfbjauvv5riyesid.pdf,NA,2326084,,ENG,RNW2638-2025-05-28.pdf,NW2638,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2hp6wg7625qwreypmggpfhaqs6n.pdf,NA,2326085,,ENG,RNW2495-2025-05-28.pdf,NW2495,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2blm7uft2dxcrek7v7vguxw7xmw.pdf,NA,2326086,,ENG,RNW2523-2025-05-28.pdf,NW2523,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2bxy6hffxv5d5eigtermmanpg2q.pdf,NA,2326087,,ENG,RNW2334-2025-05-28.pdf,NW2334,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2fypkzlldwrprf3zquypev6zr5d.pdf,NA,2326088,,ENG,RNW2577-2025-05-28.pdf,NW2577,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2bwkmus364ikra3yfem7evjwsa3.pdf,NA,2326089,,ENG,RNW2639-2025-05-28.pdf,NW2639,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2a2gyccdekwrjby4i6yrw3rv4mv.pdf,NA,2326090,,ENG,RNO668(12)-2025-05-28-ANNEXURE-7.pdf,NO668(12),EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2awuv52eegbjve3jv6qimxvury7.pdf,NA,2326091,,ENG,RNW2526-2025-05-28.pdf,NW2526,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2auhrmzmxw7mrhimzdfsoeavle5.pdf,NA,2326092,,ENG,RNW2604-2025-05-28.pdf,NW2604,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2awaj6xx4ue7nclpuskz7aixcgn.pdf,NA,2326093,,ENG,RNO668(12)-2025-05-28-ANNEXURE-6.pdf,NO668(12),EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2a6wbfwhgfu5fdihyi3cdnxsvz5.pdf,NA,2326094,,ENG,RNW2654-2025-05-28.pdf,NW2654,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2d3j47ch7by4vekeyg2vm3y5xwm.pdf,NA,2326095,,ENG,RNW2279-2025-05-28.pdf,\,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2gv3c7zyiyxojcybgt45wgss67a.pdf,NA,2326096,,ENG,RNW2332-2025-05-28.pdf,NW2332,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2eq77dxq6kzgrg2jx424pcl45yb.pdf,NA,2326097,,ENG,RNW2326-2025-05-28.pdf,NW2326,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2bu4arupmqyjjey67pikwev6eii.pdf,NA,2326098,,ENG,RNW2272-2025-05-28.pdf,NW2272,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2ajvcwwcqws75cjvm37kgdppnho.pdf,NA,2326099,,ENG,RNO668(12)-2025-05-28-ANNEXURE-8.pdf,NO668(12),EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2b3i6jqlrpxb5gjehzjlhzp4jow.pdf,NA,2326100,,ENG,RNO668(12)-2025-05-28-ANNEXURE-9.pdf,NO668(12),EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2aigfvg7b7a6nejxmii5hw5dzfe.pdf,NA,2326101,,ENG,RNW2356-2025-05-28.pdf,NW2356,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2fu3apbxdcllbayrtqfktglq4jp.pdf,NA,2326102,,ENG,RNW2694-2025-05-28.pdf,NW2694,EXE_RQ_NA
2025-05-28,exe_rq_na/01pv5mf2bcbyw7pv6w2reipvv36dqsopwz.pdf,NA,2326103,,ENG,RNW2331-2025-05-28.pdf,NW2331,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2f3pbskrltbvnflwqn5wr5bjug6.pdf,NA,2326060,,ENG,RNW2259-2025-05-27.pdf,NW2259,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2c3j6yidsmccfdjktvf6avsmduc.pdf,NA,2326061,,ENG,RNW2448-2025-05-27.pdf,NW2448,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2ab2ttuqpxbszgjm3sv5f7qvick.pdf,NA,2326062,,ENG,RNO7-12-2025-05-27 PRESIDENT.pdf,NO7,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2gp7itjaph7bfhj2jeikgvalxcr.pdf,NA,2326066,,ENG,RNW2271-2025-05-27.pdf,NW2271,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2brkbaeg5pn2zfkja3lmvvxgwyq.pdf,NA,2326067,,ENG,RNW2132-2025-05-27.pdf,NW2132,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2dvwnrb3q555rb2vtcmpa3qcbsf.pdf,NA,2326068,,ENG,RNW2705-2025-05-27.pdf,NW2705,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2eu3aqm7rganzfy6z7xnopjkjq4.pdf,NA,2326071,,ENG,RNW2307-2025-05-27-ANNEXURE-C.pdf,NW2307,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2ebvxlxnkritbfjvlkrxmmfp3ue.pdf,NA,2326072,,ENG,RNW2307-2025-05-27.pdf,NW2307,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2hvtdlv4wogsfblmwq6e2c2z2y5.pdf,NA,2326073,,ENG,RNW1917-2025-05-27.pdf,NW1917,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2adre2ryy2tfvc22toeflhsvtwi.pdf,NA,2326074,,ENG,RNW2021-2025-05-27.pdf,NW2021,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2e4vgk5e6f63vby6u7d2f6zzfnj.pdf,NA,2326075,,ENG,RNW2307-2025-05-27-ANNEXURE-B.pdf,NW2307,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2ejjsrmz23buze3gg4dxtduo4fh.pdf,NA,2326076,,ENG,RNW2131-2025-05-27.pdf,NW2131,EXE_RQ_NA
2025-05-27,exe_rq_na/01pv5mf2atpxo3nijq6jhz4tjmwqlwm5f5.pdf,NA,2326077,,ENG,RNW2611-2025-05-27.pdf,NW2611,EXE_RQ_NA
